Address	Length	Type	String
.rdata:1052F2DC	00000007	C	client
.rdata:1052F2E4	0000001E	C	CAchievementNotificationPanel
.rdata:1052F304	0000000E	C	EditablePanel
.rdata:1052F314	00000012	C	achievement_event
.rdata:1052F334	00000032	C	CUtlLinkedList overflow! (exhausted index range)\n
.rdata:1052F368	00000037	C	CUtlLinkedList overflow! (exhausted memory allocator)\n
.rdata:1052F3A0	0000000B	C	TitleLabel
.rdata:1052F3BC	00000014	C	achievements/%s.vmt
.rdata:1052F3D0	00000006	C	title
.rdata:1052F3D8	00000008	C	heading
.rdata:1052F3E4	00000017	C	HL2_KILL_ODESSAGUNSHIP
.rdata:1052F490	00000008	C	max_val
.rdata:1052F498	00000008	C	cur_val
.rdata:1052F4A0	00000011	C	achievement_name
.rdata:1052F4B4	0000001E	C	achievement_notification_test
.rdata:1052F4D4	0000001D	C	Test the hud notification UI
.rdata:1052F540	00000006	C	-game
.rdata:1052F548	00000010	C	-defaultgamedir
.rdata:1052F580	0000002E	C	You %s have at least %d friends in the game.\n
.rdata:1052F5B0	00000007	C	do not
.rdata:1052F5BC	0000003B	C	Usage: achievement_test_friend_count <min # of teammates>\n
.rdata:1052F5F8	00000037	C	There %s %d players who you're in a Steam group with.\n
.rdata:1052F630	00000008	C	are not
.rdata:1052F63C	0000003A	C	Usage: achievement_test_clan_count <# of clan teammates>\n
.rdata:1052F678	00000011	C	AchievementEvent
.rdata:1052F68C	00000025	C	..\\..\\game\\shared\\achievementmgr.cpp
.rdata:1052F6B4	00000019	C	achievement_write_failed
.rdata:1052F6D0	0000000D	C	player_death
.rdata:1052F6E0	00000009	C	besttime
.rdata:1052F6EC	0000000C	C	Leaderboard
.rdata:1052F6F8	00000015	C	survival_c1m4_atrium
.rdata:1052F710	00000016	C	survival_c2m1_highway
.rdata:1052F728	00000014	C	survival_c2m4_barns
.rdata:1052F73C	00000016	C	survival_c2m5_concert
.rdata:1052F754	0000001B	C	survival_c3m1_plankcountry
.rdata:1052F770	00000019	C	survival_c3m4_plantation
.rdata:1052F78C	00000019	C	survival_c4m1_milltown_a
.rdata:1052F7A8	0000001A	C	survival_c4m2_sugarmill_a
.rdata:1052F7C4	00000013	C	survival_c5m2_park
.rdata:1052F7D8	00000015	C	survival_c5m5_bridge
.rdata:1052F7F0	00000018	C	survival_c6m1_riverbank
.rdata:1052F808	00000015	C	survival_c6m2_bedlam
.rdata:1052F820	00000013	C	survival_c6m3_port
